uid;title;source_site;source_id_string;thumbnail;is_visible;created_date;modified_date;short_desc;posted_by_id
1;unitrΔ_Δudio - Jealousy;youtube;GnQfLGK6_bw;static/sonovsite/son/unitra_audio_jealousy.jpg;t;2017-03-15 16:17:46+01;2017-03-22 13:30:06.363618+01;Une pure merveille qui réchauffe les entrailles !;3
2;Boards of Canada - Cold Earth;youtube;XdglpRwhoQE;static/sonovsite/son/boards_of_canada_cold_earth.jpg;t;2017-03-16 10:46:47+01;2017-03-22 13:30:18.481285+01;Envoûtant, calme, nostalgique. Une perle.;3
3;Tomandandy - Tokyo;youtube;8ViXIvObP84;static/sonovsite/son/tamandandy_tokyo.jpg;t;2017-03-16 10:51:51+01;2017-03-22 13:56:49.926598+01;Fait partie de la Bo du film Resident Evil Afterlife :o;3
5;Andrew Diggs - The Ghost/Jump;youtube;fxFb1t7OLvc;static/sonovsite/son/andrew_diggs_the_ghost_jump.jpg;t;2017-03-17 09:45:06+01;2017-03-22 13:56:53.918838+01;Ca met la pêche avec de sacrés alliages de sonorités aggressives.;3
6;Vendredi - Le vide et la lumière;youtube;dEoPbaeHYRw;static/sonovsite/son/vendredi_le_vide_et_la_lumiere.jpg;t;2017-03-17 10:54:39+01;2017-03-22 13:56:57.80662+01;Un son à la française qui fait bien plaisir.;3
9;James Holden - 10101;soundcloud;89051455;static/sonovsite/son/james_holden_10101.jpg;t;2017-03-21 09:32:51+01;2017-03-22 13:57:01.08094+01;Les parasites, c'est fait exprès :P James Holden, énorme comme toujours.;3
11;N'To - petite;soundcloud;144815327;static/sonovsite/son/nto_petite.jpg;t;2017-03-22 11:38:56+01;2017-03-22 13:57:09.408054+01;Un bon petit son par N'To, juste ce qu'il faut.;3
12;Daruma - Rando Quavers;soundcloud;241790463;static/sonovsite/son/daruma_rando_quavers.jpg;t;2017-03-22 15:50:49+01;2017-03-22 15:51:05.989787+01;Simple, clean, un pti son comme il faut.;3
13;Nominal - Everyday Anyone (2013 mix);soundcloud;120472758;static/sonovsite/son/nominal_everyday_anyone.jpg;t;2017-03-23 16:32:47+01;2017-03-23 16:59:55.982521+01;;3
14;Ours Samplus - Softly;youtube;_VngVT5kii4;static/sonovsite/son/ours_samplus_softly.jpg;t;2017-03-24 16:48:28+01;2017-03-26 22:35:29.499667+02;;3
15;envoy - dark manoeuvres (obscure shape & shdw remix);youtube;zece-q2c9JY;static/sonovsite/son/envoy_-_dark_manoeuvres_obscure_shape__shdw_remix.PNG;t;2017-03-27 20:13:25+02;2017-03-27 20:14:51.024281+02;Un remix martelant qui ne laisse aucun répit !;2
10;Gesaffelstein - Pursuit;vimeo;68634031;static/sonovsite/son/gesaffelstein_pursuit.jpg;t;2017-03-21 09:43:20+01;2017-03-28 15:22:13.628372+02;Le son angoissant de Gesaffelstein, dans un clip énorme !;3
19;RUDE - Eternal youth;youtube;DhHGDOgjie4;static/sonovsite/son/rude_eternal_youth.jpg;t;2017-04-01 01:00:00+02;2017-03-30 09:46:36.109702+02;;3
21;Filastine - Requiem 432;youtube;A2LvqColxzA;static/sonovsite/son/filastine_requiem_432.jpg;t;2017-03-30 10:31:40+02;2017-03-30 10:35:37.329226+02;Etrange et dérangeant, FIlastine mérite d'être plus connu !;3
16;Nikitch - Arps;youtube;GoktnRSemVU;static/sonovsite/son/nikitch_arps.jpg;t;2017-03-29 06:00:00+02;2017-03-30 11:05:47.579048+02;Un pti français qui apporte du bon son, tout cool !;3
20;Kraddy - Into the labyrinth;youtube;oiLI9KcAytk;static/sonovsite/son/kraddy_into_the_labyrinth.jpg;t;2017-04-02 00:00:00+02;2017-03-30 10:17:28.24518+02;Kraddy, co-fondateur de Glitch Mob, excellent.;3
